"backend_name","op_name","op_params","test_mode","supported","error_message","backend_reg_name"
"SYCL0","ARANGE","type=f32","start=0.000000","stop=10.000000","step=1.000000","support"
"SYCL0","ROPE","type=f16","ne_a=[128","32","2","1]"
"SYCL0","ROPE_BACK","type=f32","ne_a=[128","32","2","1]"
"SYCL0","GET_ROWS","type=f32","n=1","m=8","r=2","b=1"
"SYCL0","REPEAT","type=f32","ne=[10","5","4","3]"
"SYCL0","MUL","type=f16","ne=[1","1","8","1]"
"SYCL0","SCALE","type=f32","ne=[10","10","10","10]"
"SYCL0","GET_ROWS","type=f32","n=256","m=5","r=4","b=7"
"SYCL0","EXP","type=f32","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT","type_a=iq1_m","type_b=f32","m=16","n=1","k=256"
"SYCL0","SSM_CONV","type=f32","ne_a=[4","1024","1","1]"
"SYCL0","MUL_MAT","type_a=iq2_xxs","type_b=f32","m=16","n=1","k=1024"
"SYCL0","PAD_REFLECT_1D","type=f32","ne_a=[512","34","2","1]"
"SYCL0","MUL_MAT_ID","type_a=iq1_m","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","GET_ROWS","type=q8_0","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS","type=q8_0","n=256","m=5","r=4","b=7"
"SYCL0","TIMESTEP_EMBEDDING","type=f32","ne_a=[2","1","1","1]"
"SYCL0","MUL_MAT","type_a=f32","type_b=f32","m=1056","n=1","k=128"
"SYCL0","MUL_MAT","type_a=f32","type_b=f32","m=1056","n=1","k=129"
"SYCL0","DIV","type=f32","ne=[1","1","8","1]"
"SYCL0","SWIGLU","type=f16","ne_a=[128","2","2","2]"
"SYCL0","UPSCALE","type=f32","ne=[5","7","11","13]"
"SYCL0","MUL_MAT_ID","type_a=iq2_xs","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","GEGLU","type=f32","ne_a=[5","7","11","13]"
"SYCL0","DUP","type=f32","ne=[10","10","20","1]"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[3","2","1","1]","ne_kernel=[2"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[3","2","1","1]","ne_kernel=[3"
"SYCL0","SET","type_src=i32","type_dst=i32","ne=[6","5","4"
"SYCL0","CPY","type_src=q5_K","type_dst=q5_K","ne=[256","2","3"
"SYCL0","CPY","type_src=q5_K","type_dst=f32","ne=[256","4","4"
"SYCL0","OUT_PROD","type_a=q4_1","type_b=f32","m=256","n=1","k=1"
"SYCL0","GET_ROWS_BACK","type=iq1_m","n=256","m=5","r=4","b=1"
"SYCL0","HARDSWISH","type=f32","ne_a=[128","2","2","2]"
"SYCL0","REPEAT_BACK","type=f32","ne=[8","6","4","2]"
"SYCL0","POOL_2D","pool_type=avg","type_input=f32","ne_input=[10","10","3"
"SYCL0","GET_ROWS_BACK","type=iq4_xs","n=256","m=5","r=4","b=1"
"SYCL0","CPY","type_src=f32","type_dst=f32","ne=[1","2","3"
"SYCL0","CPY","type_src=f32","type_dst=f32","ne=[256","4","4"
"SYCL0","REGLU","type=f16","ne_a=[5","7","11","13]"
"SYCL0","GET_ROWS","type=q2_K","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS_BACK","type=q8_0","n=256","m=5","r=4","b=1"
