kv,npar,ctx,status,init_vram_free_mib,kv_buffer_mib,model_mib,wall_s,past_train_ctx,note
f16,1,131072,FAIL_oom,?,?,?,3.9,0,hi-probe:0.00.498.087 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,1,66048,FIT,15473,8256.00,4403,2.9,0,
f16,1,98560,FAIL_oom,?,?,?,3.0,0,0.00.513.077 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,1,82304,FAIL_oom,?,?,?,2.3,0,0.00.495.067 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,1,74176,FIT,15473,9280.00,4403,2.3,0,
f16,1,78240,FIT,15473,9792.00,4403,2.3,0,
f16,1,80272,FAIL_oom,?,?,?,2.3,0,0.00.493.678 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,1,79256,FIT,15473,9920.00,4403,2.3,0,
f16,1,79764,FIT,15473,9984.00,4403,2.3,0,
f16,4,131072,FAIL_oom,?,?,?,3.7,0,hi-probe:0.00.496.233 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,4,66048,FIT,15473,8256.00,4403,2.3,0,
f16,4,98560,FAIL_oom,?,?,?,3.0,0,0.00.497.958 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,4,82304,FAIL_oom,?,?,?,2.3,0,0.00.509.065 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,4,74176,FIT,15473,9280.00,4403,2.4,0,
f16,4,78240,FIT,15473,9792.00,4403,2.4,0,
f16,4,80272,FAIL_oom,?,?,?,2.3,0,0.00.500.267 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
f16,4,79256,FIT,15473,9920.00,4403,2.3,0,
f16,4,79764,FIT,15473,9984.00,4403,2.3,0,
q8_0,1,131072,FIT,15473,8704.00,4403,2.3,0,hi-probe:
q8_0,4,131072,FIT,15473,8704.00,4403,2.3,0,hi-probe:
q4_0,1,131072,FIT,15473,4608.00,4403,2.3,0,hi-probe:
q4_0,4,131072,FIT,15473,4608.00,4403,2.3,0,hi-probe:
turbo2,1,131072,FIT,15473,2584.00,4403,2.3,0,hi-probe:
turbo2,4,131072,FIT,15473,2584.00,4403,2.3,0,hi-probe:
turbo3,1,131072,FIT,15473,3200.00,4403,2.3,0,hi-probe:
turbo3,4,131072,FIT,15473,3200.00,4403,2.3,0,hi-probe:
turbo4,1,131072,FIT,15473,4352.00,4403,2.3,0,hi-probe:
turbo4,4,131072,FIT,15473,4352.00,4403,2.3,0,hi-probe:
q8_0,1,262144,FAIL_oom,?,?,?,3.7,0,phase1:0.00.493.276 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
q8_0,1,196608,FAIL_oom,?,?,?,3.0,0,0.00.516.674 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
q8_0,1,163840,FAIL_oom,?,?,?,2.3,0,0.00.502.307 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
q8_0,1,147456,FIT,15473,9792.00,4403,2.4,2,
q8_0,1,155648,FAIL_oom,?,?,?,2.3,0,0.00.490.920 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already s
