case,variant,wall_median_us,wall_p95_us,total_nmse,arithmetic,quant
smoke-pair-f32,native-w2a16,208.3,221.4,6.470751411e-08,PASS,PASS
smoke-pair-f32,native-w2a8-g32-staged,198.3,200.5,3.843929819e-05,PASS,PASS
smoke-pair-f32,native-w2a8-g32-fused,178.3,179.0,3.843929819e-05,PASS,PASS
smoke-pair-f32,native-w2a8-g128-staged,208.4,211.8,3.868587257e-05,PASS,PASS
smoke-pair-f32,native-w2a8-g128-fused,182.1,190.3,3.868587257e-05,PASS,PASS
smoke-pair-f32,native-w2a8-g256-staged,194.1,199.3,4.4010157e-05,PASS,PASS
smoke-pair-f32,native-w2a8-g256-fused,189.8,192.4,4.4010157e-05,PASS,PASS
smoke-pair-f32,s2tile8-w2a16,207.5,209.9,6.470751411e-08,PASS,PASS
smoke-pair-f32,s2tile8-w2a8-g32-staged,191.5,193.3,3.843929819e-05,PASS,PASS
smoke-pair-f32,s2tile8-w2a8-g32-fused,178.8,183.8,3.843929819e-05,PASS,PASS
smoke-pair-f32,s2tile8-w2a8-g128-staged,176.4,182.6,3.868587257e-05,PASS,PASS
smoke-pair-f32,s2tile8-w2a8-g128-fused,179.3,188.0,3.868587257e-05,PASS,PASS
smoke-pair-f32,s2tile8-w2a8-g256-staged,188.7,190.6,4.4010157e-05,PASS,PASS
smoke-pair-f32,s2tile8-w2a8-g256-fused,177.6,183.8,4.4010157e-05,PASS,PASS
smoke-pair-f32,native-fma-SYCL,83.2,88.7,7.730588043e-15,PASS,PASS
smoke-down-q4-f16-s2,native-w2a16,209.1,215.2,4.986803132e-08,PASS,PASS
smoke-down-q4-f16-s2,native-w2a8-g32-staged,199.3,200.6,3.301057125e-05,PASS,PASS
smoke-down-q4-f16-s2,native-w2a8-g32-fused,193.7,198.9,3.301057125e-05,PASS,PASS
smoke-down-q4-f16-s2,native-w2a8-g128-staged,190.8,191.2,4.231436233e-05,PASS,PASS
smoke-down-q4-f16-s2,native-w2a8-g128-fused,188.4,193.4,4.231436233e-05,PASS,PASS
smoke-down-q4-f16-s2,native-w2a8-g256-staged,198.3,211.1,5.318908713e-05,PASS,PASS
smoke-down-q4-f16-s2,native-w2a8-g256-fused,180.6,187.8,5.318908713e-05,PASS,PASS
