kernel,quant,batch,dim_m,dim_n,dim_k,layout,throughput_tps,latency_us,bandwidth_gbps,xmx_util_pct,variance_pct,regime,tier,is_winner,source_file
memory_bandwidth,Q4_0,1,4096,4096,4096,AOS,0.0,24707.556,86.916069,0.0,0.0,memory_bound,0,False,memory_bandwidth_1GiB.jsonl
memory_bandwidth,Q4_0,1,4096,4096,4096,AOS,0.0,7570.0228,567.365173,0.0,0.0,memory_bound,0,False,memory_bandwidth_b580_2g.jsonl
memory_bandwidth,Q4_0,1,4096,4096,4096,AOS,0.0,15151.708333,566.928455,0.0,0.0,memory_bound,0,False,memory_bandwidth_b580_4g.jsonl
memory_bandwidth,Q4_0,1,4096,4096,4096,AOS,0.0,7573.70488,567.089339,0.0,0.0,memory_bound,0,False,memory_bandwidth_2g.jsonl
memory_bandwidth,Q4_0,1,4096,4096,4096,AOS,0.0,15143.7529,567.226278,0.0,0.0,memory_bound,0,False,memory_bandwidth_4g.jsonl
mmq_aos,Q4_0,128,4096,4096,4096,AOS,227476.648456,562.69512,21.546588,0.0,16.05,compute_bound,-1,True,mmq_q4_0_aos_b128_dim4096_grf128.jsonl
mmq_aos,Q4_0,128,4096,4096,4096,AOS,183905.784147,696.00856,17.419556,0.0,14.77,compute_bound,-1,True,mmq_q4_0_aos_b128_dim4096_grf256.jsonl
mmq_aos,Q4_K,128,4096,4096,4096,AOS,123565.625124,1035.8868,11.704136,0.0,13.32,compute_bound,-1,True,mmq_q4_k_aos_b128_dim4096_baseline.jsonl
mmq_aos,Q4_K,128,4096,4096,4096,AOS,152619.096312,838.68928,14.456081,0.0,15.31,compute_bound,-1,True,mmq_q4_k_aos_b128_dim4096_tile64.jsonl
mmq_aos,Q5_K,128,4096,4096,4096,AOS,110255.528212,1160.93952,12.24983,0.0,15.32,compute_bound,-1,True,mmq_q5_k_aos_b128_dim4096_baseline.jsonl
mmq_aos,Q5_K,128,4096,4096,4096,AOS,109426.318165,1169.73688,12.157702,0.0,14.86,compute_bound,-1,True,mmq_q5_k_aos_b128_dim4096_tile64.jsonl
mmq_aos,Q6_K,16,4096,4096,4096,AOS,19055.789444,839.63984,16.791047,0.0,14.22,transitional,-1,False,mmq_q6_k_aos_b16_dim4096_spillfree.jsonl
mmq_aos,Q6_K,32,4096,4096,4096,AOS,37638.755271,850.18752,16.977789,0.0,13.98,transitional,-1,False,mmq_q6_k_aos_b32_dim4096_spillfree.jsonl
mmq_aos,Q6_K,64,4096,4096,4096,AOS,36685.23918,1744.57088,8.65889,0.0,12.09,transitional,-1,False,mmq_q6_k_aos_b64_dim4096_spillfree.jsonl
mmq,Q6_K,64,4096,4096,4096,AOS,36701.790816,1743.78412,8.662797,0.0,12.0,transitional,-1,False,mmq_q6_k_auto_b64_dim4096_spillfree.jsonl
mmq_coalesced,Q6_K,128,4096,4096,4096,COALESCED,22340.455983,5729.516,2.871017,0.0,5.37,compute_bound,-1,True,mmq_q6_k_coalesced_b128_dim4096_nwarp4.jsonl
mmq_coalesced,Q6_K,128,4096,4096,4096,COALESCED,38167.292491,3353.6568,4.904955,0.0,11.76,compute_bound,-1,True,mmq_q6_k_coalesced_b128_dim4096_nwarp8.jsonl
mmq_coalesced,Q6_K,128,4096,4096,4096,COALESCED,38104.59368,3359.17504,4.896898,0.0,9.85,compute_bound,-1,True,mmq_q6_k_coalesced_b128_dim4096_nwarp8_rerun.jsonl
mmq_coalesced,Q6_K,128,4096,4096,4096,COALESCED,39903.934769,3207.70372,5.128134,0.0,10.86,compute_bound,-1,True,mmq_q6_k_coalesced_b128_dim4096_spillfix.jsonl
mmq_coalesced,Q6_K,16,4096,4096,4096,COALESCED,13420.100546,1192.24144,11.825148,0.0,16.65,transitional,-1,False,mmq_q6_k_coalesced_b16_dim4096_spillfree.jsonl
